Type,City,Bedrooms,Area,Price,Predicted_Price,Discount_pct
Apartment,Sheikh Zayed,4.0,263.0,30000,2825748.279184436,98.9
Stand Alone Villa,North Coast,5.0,550.0,36000,3108477.3977642646,98.8
Stand Alone Villa,Beni Suef City,7.0,950.0,50000,2852304.3048600876,98.2
Chalet,North Coast,2.0,124.1,100000,5593518.020670034,98.2
Stand Alone Villa,Sheikh Zayed,4.0,430.0,55000,2173419.9426360307,97.5
Apartment,Maadi,6.0,550.0,70000,2383287.081470827,97.1
Apartment,New Hut - El Tagamoa,3.0,193.0,80000,2031091.2768426952,96.1
Stand Alone Villa,New Hut - El Tagamoa,3.0,250.0,250000,5404192.392551136,95.4
Apartment,Zamalek,3.0,200.0,35000,768840.23940065,95.4
Twin House,New Hut - El Tagamoa,3.0,271.0,190000,3903637.710197576,95.1
Stand Alone Villa,New Hut - El Tagamoa,5.0,265.0,95000,1860051.8313299166,94.9
Apartment,New Hut - El Tagamoa,3.0,161.0,36000,705781.5023719285,94.9
Stand Alone Villa,New Hut - El Tagamoa,1.0,680.0,170000,3256667.757434782,94.8
Stand Alone Villa,New Mansoura,4.0,319.0,250000,4686082.719118989,94.7
Twin House,Madinaty,3.0,275.0,400000,7368096.990565075,94.6
Twin House,Madinaty,4.0,650.0,405000,6944494.837961325,94.2
Town House,New Hut - El Tagamoa,4.0,280.0,250000,4135365.0316512864,94.0
Stand Alone Villa,North Coast,6.0,340.0,228000,3625949.0952709676,93.7
Chalet,North Coast,2.0,91.0,115000,1827145.5331244478,93.7
Stand Alone Villa,North Coast,4.0,374.0,450000,6996999.570559583,93.6
Apartment,New Hut - El Tagamoa,3.0,140.0,30000,451303.4629701448,93.4
Apartment,Salam City,2.0,90.0,30000,439616.9744022011,93.2
Stand Alone Villa,New Hut - El Tagamoa,7.0,645.0,850000,12321299.09366927,93.1
Apartment,New Hut - El Tagamoa,3.0,168.0,60000,852036.9021775821,93.0
Town House,New Hut - El Tagamoa,4.0,261.0,291000,4094978.83540509,92.9
Duplex,North Coast,3.0,194.0,240000,3338699.344735496,92.8
Apartment,Nasr City,3.0,120.0,30000,414133.09689092386,92.8
Chalet,North Coast,1.0,65.0,75000,1029295.868292137,92.7
Twin House,15 May City,3.0,209.0,50000,685904.7367985924,92.7
Chalet,Ain Sukhna,2.0,65.0,39000,517364.3297281073,92.5
Apartment,6th of October,3.0,170.0,100000,1341653.7581114392,92.5
Stand Alone Villa,Shorouk City,5.0,299.0,103000,1298205.6125265774,92.1
Apartment,Shorouk City,3.0,180.0,55000,674778.0923958159,91.8
Twin House,6th of October,5.0,237.0,124000,1494367.8827900821,91.7
Apartment,Hadayek al-Ahram,3.0,205.0,99999,1135898.4467731575,91.2
Town House,Madinaty,4.0,387.0,270000,2923778.775526181,90.8
Stand Alone Villa,Sheikh Zayed,5.0,320.0,500000,5447497.4338163575,90.8
Duplex,6th of October,3.0,190.0,40000,432028.4693527557,90.7
Town House,Sheikh Zayed,4.0,220.0,330000,3555112.475961978,90.7
Chalet,Ain Sukhna,2.0,96.0,106000,1114850.5855283868,90.5
Chalet,North Coast,2.0,92.0,100000,1052857.975859999,90.5
Stand Alone Villa,Sheikh Zayed,4.0,360.0,470000,4965716.815273646,90.5
Town House,Mostakbal City,4.0,222.0,185000,1924564.97223562,90.4
Apartment,New Hut - El Tagamoa,3.0,215.0,337000,3467258.614417132,90.3
Stand Alone Villa,New Hut - El Tagamoa,4.0,303.0,225000,2324421.075250522,90.3
Town House,North Coast,4.0,200.0,280000,2846314.982818025,90.2
Apartment,New Hut - El Tagamoa,4.0,200.0,250000,2519133.3384383298,90.1
Apartment,Mansura,4.0,220.0,100000,985711.4114931744,89.9
Twin House,New Hut - El Tagamoa,5.0,378.0,100000,993875.9997675024,89.9
Stand Alone Villa,Sheikh Zayed,6.0,330.0,380000,3761358.1571411355,89.9
Chalet,Ain Sukhna,1.0,90.0,100000,976479.7950822737,89.8
Chalet,Dabaa,3.0,177.0,145000,1401373.7238421012,89.7
Town House,Sheikh Zayed,5.0,305.0,450000,4358274.869528523,89.7
Twin House,Madinaty,3.0,200.0,330000,3201258.515987316,89.7
Chalet,North Coast,2.0,91.0,120000,1150990.8577622427,89.6
Stand Alone Villa,Madinaty,5.0,464.0,500000,4824887.541254015,89.6
Stand Alone Villa,Sheikh Zayed,4.0,300.0,450000,4279759.508226004,89.5
Chalet,North Coast,2.0,101.0,125000,1195936.3546373562,89.5
Town House,North Coast,4.0,164.0,179000,1684939.1890286508,89.4
Chalet,North Coast,3.0,125.0,197500,1857105.714610134,89.4
